Oval,
1,0
0.95,0.108972474
0.9,0.15
0.85,0.178535711
0.8,0.2
0.75,0.216506351
0.7,0.229128785
0.65,0.2384848
0.6,0.244948974
0.55,0.248746859
0.5,0.25
0.45,0.248746859
0.4,0.244948974
0.35,0.2384848
0.3,0.229128785
0.25,0.216506351
0.2,0.2
0.15,0.178535711
0.1,0.15
0.05,0.108972474
0,0
0.05,-0.108972474
0.1,-0.15
0.15,-0.178535711
0.2,-0.2
0.25,-0.216506351
0.3,-0.229128785
0.35,-0.2384848
0.4,-0.244948974
0.45,-0.248746859
0.5,-0.25
0.55,-0.248746859
0.6,-0.244948974
0.65,-0.2384848
0.7,-0.229128785
0.75,-0.216506351
0.8,-0.2
0.85,-0.178535711
0.9,-0.15
0.95,-0.108972474
1,0